,Generation,Best Fitness,Worst Fitness,Average Fitness,Median Fitness
0,0,32.0,56.0,55.18666666666667,56.0
1,1,28.666666666666668,56.0,52.75333333333333,56.0
2,2,25.333333333333332,56.0,47.77333333333333,56.0
3,3,21.333333333333332,56.0,43.63333333333333,42.0
4,4,18.666666666666668,56.0,38.22666666666667,33.333333333333336
5,5,12.666666666666666,56.0,32.79333333333334,30.333333333333332
6,6,10.666666666666666,56.0,29.12666666666667,26.666666666666668
7,7,7.333333333333333,56.0,24.599999999999998,22.0
8,8,4.666666666666667,56.0,20.24,19.333333333333332
9,9,4.666666666666667,56.0,17.92,14.333333333333334
10,10,4.666666666666667,56.0,16.60666666666667,13.333333333333334
11,11,4.666666666666667,56.0,15.706666666666667,12.666666666666666
12,12,3.3333333333333335,56.0,14.046666666666667,11.333333333333334
13,13,2.6666666666666665,56.0,12.413333333333334,10.0
14,14,2.6666666666666665,56.0,10.486666666666666,7.333333333333333
15,15,2.0,56.0,10.02,7.0
16,16,2.0,56.0,9.26,7.333333333333333
17,17,1.3333333333333333,56.0,8.526666666666667,6.666666666666667
18,18,1.3333333333333333,56.0,7.966666666666667,4.666666666666667
19,19,1.3333333333333333,56.0,7.446666666666667,4.333333333333333
20,20,1.3333333333333333,56.0,8.06,6.0
21,21,1.3333333333333333,46.0,6.693333333333333,3.3333333333333335
22,22,1.3333333333333333,56.0,7.140000000000001,3.6666666666666665
23,23,1.3333333333333333,48.0,6.453333333333333,3.0
24,24,1.3333333333333333,49.333333333333336,7.446666666666666,4.0
25,25,1.3333333333333333,49.333333333333336,6.533333333333333,2.0
26,26,1.3333333333333333,48.0,6.38,1.6666666666666667
27,27,1.3333333333333333,49.333333333333336,6.293333333333333,2.0
28,28,1.3333333333333333,41.333333333333336,6.0200000000000005,2.6666666666666665
29,29,1.3333333333333333,44.666666666666664,5.573333333333333,2.0
30,30,1.3333333333333333,48.0,6.053333333333334,2.6666666666666665
31,31,1.3333333333333333,48.0,5.946666666666667,2.6666666666666665
32,32,1.3333333333333333,44.666666666666664,5.18,1.3333333333333333
33,33,1.3333333333333333,41.333333333333336,5.446666666666666,2.0
34,34,1.3333333333333333,46.0,5.986666666666666,3.3333333333333335
35,35,1.3333333333333333,48.0,6.3533333333333335,2.3333333333333335
36,36,1.3333333333333333,25.333333333333332,4.573333333333333,1.3333333333333333
37,37,1.3333333333333333,56.0,5.066666666666666,1.3333333333333333
38,38,1.3333333333333333,28.0,4.086666666666667,1.3333333333333333
39,39,1.3333333333333333,40.0,4.74,1.3333333333333333
40,40,1.3333333333333333,35.333333333333336,4.673333333333333,1.3333333333333333
41,41,1.3333333333333333,56.0,4.846666666666667,1.3333333333333333
42,42,1.3333333333333333,43.333333333333336,5.0600000000000005,1.3333333333333333
43,43,1.3333333333333333,26.666666666666668,4.166666666666667,1.3333333333333333
44,44,1.3333333333333333,30.666666666666668,4.1,1.3333333333333333
45,45,1.3333333333333333,36.666666666666664,4.52,1.3333333333333333
46,46,1.3333333333333333,42.666666666666664,4.5600000000000005,1.3333333333333333
47,47,1.3333333333333333,41.333333333333336,4.946666666666666,1.3333333333333333
48,48,1.3333333333333333,44.666666666666664,5.140000000000001,1.3333333333333333
49,49,1.3333333333333333,38.0,3.8866666666666667,1.3333333333333333
50,50,1.3333333333333333,44.666666666666664,5.086666666666667,1.3333333333333333
51,51,1.3333333333333333,21.333333333333332,4.106666666666667,1.3333333333333333
52,52,1.3333333333333333,56.0,5.093333333333334,1.3333333333333333
